Capacitance,Capacitance Code,0201 6.3V,0201 10V,0201 16V,0201 25V,0201 50V,0402 6.3V,0402 10V,0402 16V,0402 25V,0402 50V,0402 100V,0603 6.3V,0603 10V,0603 16V,0603 25V,0603 50V,0603 100V,0805 6.3V,0805 10V,0805 16V,0805 25V,0805 50V,0805 100V,1206 6.3V,1206 10V,1206 16V,1206 25V,1206 35V,1206 50V,1206 100V,1210 6.3V,1210 10V,1210 16V,1210 25V,1210 50V,1210 100V,1812 10V,1812 16V,1812 25V,1812 50V,1812 100V
100pF,-101,,,L,L,L,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,,,,,,,,,,,,,,,,,
120pF,-121,,,L,L,L,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,,,,,,,,,,,,,,,,,
150pF,-151,,,L,L,L,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,,,,,,,,,,
180pF,-181,,,L,L,L,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,,,,,,,,,,
220pF,-221,,,L,L,L,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,,,,,,,,,,
270pF,-271,,,L,L,L,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,,,,,,,,,,
330pF,-331,,,L,L,L,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,,,,,,,,,,
390pF,-391,,,L,L,L,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,,,,,,,,,,
470pF,-471,,,L,L,L,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,,,,,,,,,,
560pF,-561,,,L,L,L,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,,,,,,,,,,
680pF,-681,,,L,L,L,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,,,,,,,,,,
820pF,-821,,,L,L,L,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,,,,,,,,,,
"1,000pF",-102,L,L,L,L,L,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
"1,200pF",-122,L,L,L,L,,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
"1,500pF",-152,L,L,L,L,,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
"1,800pF",-182,L,L,L,,,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
"2,200pF",-222,L,L,L,,,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
"2,700pF",-272,L,L,L,,,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
"3,300pF",-332,L,L,L,,,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
"3,900pF",-392,L,L,L,,,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
"4,700pF",-472,L,L,L,,,,N,N,N,N,N,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
"5,600pF",-562,L,L,,,,,N,N,N,N,,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
"6,800pF",-682,L,L,,,,,N,N,N,N,,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
"8,200pF",-822,L,L,,,,,N,N,N,N,,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
0.010μF,-103,L,L,L,,,,N,N,N,N,,,S,S,S,S,S,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
0.012μF,-123,,,,,,,N,N,N,,,,S,S,S,S,X,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
0.015μF,-153,,,,,,,N,N,N,,,,S,S,S,S,X,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
0.018μF,-183,,,,,,,N,N,N,,,,S,S,S,S,X,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
0.022μF,-223,,,,,,,N,N,N,N,,,S,S,S,S,X,,B,B,B,B,B,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
0.027μF,-273,,,,,,,N,N,N,,,,S,S,S,S,X,,B,B,B,B,D,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
0.033μF,-333,,,,,,,N,N,N,N,,,S,S,S,X,X,,B,B,B,B,D,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
0.039μF,-393,,,,,,,N,N,N,,,,S,S,S,X,X,,B,B,B,B,D,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
0.047μF,-473,,,,,,,N,N,N,N,,,S,S,S,X,X,,B,B,B,B,D,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
0.056μF,-563,,,,,,,N,N,,,,,S,S,S,X,X,,B,B,B,B,D,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
0.068μF,-683,,,,,,,N,N,,N,,,S,S,S,X,X,,B,B,B,B,D,,B,B,B,,B,B,,C,C,C,C,C,D,D,D,D,D
0.082μF,-823,,,,,,,N,N,,,,,S,S,S,X,X,,B,B,B,B,D,,B,B,B,,B,D,,C,C,C,C,C,D,D,D,D,D
0.10μF,-104,,,,,,N,N,N,N,N,,,S,S,S,X,X,,B,B,B,B,D,,B,B,B,,B,D,,C,C,C,C,C,D,D,D,D,D
0.12μF,-124,,,,,,,,,,,,,S,S,X,,,,B,B,B,D,,,B,B,B,,B,D,,C,C,C,C,C,D,D,D,D,D
0.15μF,-154,,,,,,,,,,,,,S,S,X,,,,D,D,D,D,,,C,C,C,,C,G,,C,C,C,C,D,D,D,D,D,D
0.18μF,-184,,,,,,,,,,,,,S,S,X,,,,D,D,D,D,,,C,C,C,,C,G,,C,C,C,C,D,D,D,D,D,D
0.22μF,-224,,,,,,N,N,N,N,,,,S,S,X,X,,,D,D,D,D,T,,C,C,C,,C,G,,C,C,C,C,D,D,D,D,D,D
0.27μF,-274,,,,,,,,,,,,X,X,X,X,,,,D,D,D,I,,,C,C,C,,D,G,,C,C,C,C,G,D,D,D,D,D
0.33μF,-334,,,,,,,,,,,,X,X,X,X,,,,D,D,D,I,,,C,C,C,,D,G,,C,C,C,D,G,D,D,D,D,D
0.39μF,-394,,,,,,,,,,,,X,X,X,X,,,,D,D,D,I,,,C,C,J,,P,G,,C,C,C,D,M,D,D,D,D,D
0.47μF,-474,,,,,,N,N,,,,,X,X,X,X,X,,,D,D,D,I,I,,J,J,J,,P,G,,C,C,C,D,M,D,D,D,D,K
0.56μF,-564,,,,,,,,,,,,X,X,X,,,,,D,D,D,,,,J,J,J,,P,P,,D,D,D,D,M,D,D,D,D,K
0.68μF,-684,,,,,,,,,,,,X,X,X,,,,,D,D,D,,,,J,J,J,,P,P,,D,D,D,D,K,D,D,D,K,K
0.82μF,-824,,,,,,,,,,,,X,X,X,,,,,D,D,D,,,,J,J,J,,P,P,,D,D,D,D,K,D,D,D,K,K
1.0μF,-105,,,,,,N,,,,,,X,X,X,X,X,,,D,D,D,I,,,J,J,J,,P,P,,D,D,D,D,K,D,D,D,K,K
1.5μF,-155,,,,,,,,,,,,,,,,,,,I,I,I,,,J,J,J,P,,,,,,K,G,M,M,,,,,K
2.2μF,-225,,,,,,,,,,,,X,X,X,,,,I,I,I,I,I,,J,J,J,P,,P,P,,,K,G,M,M,,,,M,M
3.3μF,-335,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,K,G,,,,,,,
4.7μF,-475,,,,,,,,,,,,,,,,,,I,I,I,I,,,P,P,P,P,,P,,,K,K,K,M,,,,,,
6.8μF,-685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10μF,-106,,,,,,,,,,,,,,,,,,I,I,I*,,,,P,P,P,P,P,,,,K,K,K,M,,,,,,
22μF,-226,,,,,,,,,,,,,,,,,,,,,,,,P,P,P*,,,,,,M,M,M,,,,,,,
47μF,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,M,,,,,,,,,
